Nested Sampling Global Log-Evidence           :   -0.133940770490205086E+05  +/-    0.278800638367880216E+00
Nested Importance Sampling Global Log-Evidence:   -0.133970566378920521E+05  +/-    0.305976402341760004E-01

Dim No.       Mean        Sigma
   1    0.479973842952044760E+00    0.887884317407054062E-05
   2   -0.375492690479677205E+00    0.746780505572469525E-05
   3    0.391585916449714366E+01    0.394807747316071267E+00
   4    0.226171343649299983E+01    0.526569678636239495E-03
   5    0.314751622973794998E+01    0.207319956481368001E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.479970144926955777E+00
   2   -0.375491569818616533E+00
   3    0.385798496655528345E+01
   4    0.226112765200060828E+01
   5    0.311486000468994195E+01

MAP Parameters
Dim No.        Parameter
   1    0.479970144926955777E+00
   2   -0.375491569818616533E+00
   3    0.385798496655528345E+01
   4    0.226112765200060828E+01
   5    0.311486000468994195E+01
