Nested Sampling Global Log-Evidence           :   -0.502543823828637414E+04  +/-    0.148856528604121741E+00
Nested Importance Sampling Global Log-Evidence:   -0.502643080318744796E+04  +/-    0.216918999951838838E-01

Dim No.       Mean        Sigma
   1    0.198163732686474692E+01    0.575953079691108427E+00
   2    0.566845016168462692E+02    0.350761573751536410E-01
   3    0.241635507816626287E+02    0.275278766522388356E-01
   4    0.255213404311784720E+01    0.170875073289619872E+00
   5    0.235521738335291744E+02    0.187275792719000433E+01
   6    0.186998827879851365E+00    0.368189329898478065E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.268026561696701204E+01
   2    0.566573657476655015E+02
   3    0.241685960728418650E+02
   4    0.263048622410349342E+01
   5    0.227319703005406559E+02
   6    0.205739561016456379E+00

MAP Parameters
Dim No.        Parameter
   1    0.268026561696701204E+01
   2    0.566573657476655015E+02
   3    0.241685960728418650E+02
   4    0.263048622410349342E+01
   5    0.227319703005406559E+02
   6    0.205739561016456379E+00
