Nested Sampling Global Log-Evidence           :    0.111970035330586870E+04  +/-    0.194090874276732495E+00
Nested Importance Sampling Global Log-Evidence:    0.111824056892358749E+04  +/-    0.142058179896266512E+00

Dim No.       Mean        Sigma
   1    0.328846307561817819E-01    0.189150681415541913E-02
   2   -0.154141164087353358E-01    0.176358329064210608E-02
   3    0.215714598009356040E+01    0.206377104660561667E+00
   4    0.119331961289429711E+01    0.565834884086445000E+00
   5    0.222841461862781243E+01    0.219687707282653466E+00
   6    0.366148303976675891E+02    0.596385195372760002E+01
   7    0.429991438335564027E+02    0.498939821994055954E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.329325167362757298E-01
   2   -0.133597296684375422E-01
   3    0.243397346195559239E+01
   4    0.925804675968675217E+00
   5    0.189465132324268004E+01
   6    0.323302835247330052E+02
   7    0.455986474031915066E+02

MAP Parameters
Dim No.        Parameter
   1    0.329325167362757298E-01
   2   -0.133597296684375422E-01
   3    0.243397346195559239E+01
   4    0.925804675968675217E+00
   5    0.189465132324268004E+01
   6    0.323302835247330052E+02
   7    0.455986474031915066E+02
