Nested Sampling Global Log-Evidence           :   -0.287961319262078996E+04  +/-    0.147918139448599051E+00
Nested Importance Sampling Global Log-Evidence:   -0.287979321393701730E+04  +/-    0.271870394719321562E-01

Dim No.       Mean        Sigma
   1    0.201047062241225305E+01    0.569494805790232150E+00
   2    0.566483640723584898E+02    0.274193023019194890E-01
   3    0.241787105295265086E+02    0.246753433212769900E-01
   4    0.209025418529923357E+01    0.297487741357173374E+00
   5    0.234014792337554089E+01    0.243796801185144546E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.116198209226255478E+01
   2    0.566510941538992299E+02
   3    0.241669022952677963E+02
   4    0.188229439434185775E+01
   5    0.218178151610506932E+01

MAP Parameters
Dim No.        Parameter
   1    0.116198209226255478E+01
   2    0.566510941538992299E+02
   3    0.241669022952677963E+02
   4    0.188229439434185775E+01
   5    0.218178151610506932E+01
