Nested Sampling Global Log-Evidence           :   -0.287619337355148809E+04  +/-    0.119911500577565208E+00
Nested Importance Sampling Global Log-Evidence:   -0.287701458857250236E+04  +/-    0.132861573369291892E-01

Dim No.       Mean        Sigma
   1    0.198261380399626175E+01    0.568618697965869613E+00
   2    0.566479450799692970E+02    0.270951704287407287E-01
   3    0.241776341116700486E+02    0.250176121186285252E-01
   4    0.196416784954146229E+01    0.130428557947869367E+00
   5    0.381118637996429399E+02    0.768127585816241609E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.163268072476749815E+01
   2    0.566572418069876278E+02
   3    0.241667781385484624E+02
   4    0.185493112600764043E+01
   5    0.472419602574107174E+02

MAP Parameters
Dim No.        Parameter
   1    0.163268072476749815E+01
   2    0.566572418069876278E+02
   3    0.241667781385484624E+02
   4    0.185493112600764043E+01
   5    0.472419602574107174E+02
