"RA" "DEC" "lambda"
57.4918587348815 23.8486129833851 -1.8044004171573
59.1274617425235 23.0375267739168 2.4955995828427
57.9802119577697 26.9611175187339 5.9955995828427
56.5529353659315 23.1284250160248 -0.404400417157299
54.0448471629586 26.2644592788692 0.895599582842701
56.2455605995874 22.0323206847357 -0.00440041715729911
58.2554989819498 23.0568522676971 0.895599582842701
58.2011827704276 26.3661122107067 1.2955995828427
54.7880984125509 24.3676979755938 0.395599582842701
57.7764614567832 25.5945742750736 -0.504400417157299
56.165292576706 22.1131998754967 1.7955995828427
56.0855083097954 24.7727356777179 2.6955995828427
57.2542463138623 22.9802969105612 5.7955995828427
56.3140161607581 25.289357907652 1.8955995828427
55.3306409312357 23.8615936233429 8.6955995828427
58.0734872019666 24.4550994175076 11.3955995828427
57.9750976204399 24.0474774278584 9.2955995828427
55.9744422782349 25.4750824266415 6.3955995828427
56.4380721584782 25.5957151786007 0.795599582842701
56.2721376687694 25.4864203913189 6.3955995828427
58.3736504554521 26.6804222529441 7.2955995828427
58.4594721900974 25.964544428453 1.8955995828427
55.2370839677095 26.3270358043472 1.4955995828427
52.8639551818214 20.2614254698242 8.2955995828427
59.9929114554496 23.6652553692522 8.7955995828427
61.3688617877508 23.6716142519365 4.8955995828427
61.0941425240639 23.8148968562152 1.7955995828427
52.0899206159867 20.2092755775302 8.3955995828427
52.3558925746224 25.6522617223701 -0.00440041715729911
52.1702820649877 27.3565723420308 9.0955995828427
52.0807759000165 28.1687201880999 13.4955995828427
52.0814775555478 28.506288821433 10.1955995828427
52.8937946178199 19.6237536181542 2.1955995828427
52.6292184037988 28.0609023268141 10.2955995828427
52.9488215446177 28.7858887119902 8.2955995828427
53.4834254612077 19.5461854751994 6.9955995828427
54.0388104886704 20.9575292393978 1.8955995828427
56.8499138655631 23.9144421484767 1.3955995828427
57.3201894245703 24.0165513633971 10.0955995828427
57.0565474548327 24.3183426586166 -0.304400417157299
57.4858182420234 24.3489676019716 -1.8044004171573
57.3199461517059 24.3961159427467 -0.604400417157299
55.9950625423331 23.8826630379334 0.195599582842701
56.2243882208717 23.9211837693159 2.4955995828427
56.1095317723501 24.5896198924691 2.0955995828427
56.4244462017407 24.4314405866462 2.1955995828427
57.070499892461 23.6366874336151 0.895599582842701
54.0040643085488 24.2659752238744 2.0955995828427
56.657063250784 23.7876699264486 1.8955995828427
55.0150636027951 24.5007862255611 7.2955995828427
57.5871622597154 24.4666722050418 1.9955995828427
56.2720206483428 23.7026762125626 -0.504400417157299
56.002482003006 23.5439328839033 1.7955995828427
55.685242161675 23.9708971474218 9.4955995828427
56.2631784212783 23.1163299429627 12.1955995828427
55.5197220817652 22.8584828759719 0.795599582842701
57.4205188110942 23.3416050274674 -1.3044004171573
55.7974758748501 22.8689779172958 2.0955995828427
57.8633493908056 24.5186545205496 -0.804400417157299
56.7514592221903 23.8801156439955 9.3955995828427
56.2134553400643 23.2689150093324 -0.604400417157299
55.9072357891038 23.5359458317419 1.5955995828427
55.1280084200536 24.4873070476732 2.4955995828427
57.1148627811173 27.1478698227158 1.9955995828427
55.0501379482418 25.6421807225907 2.7955995828427
59.3796541030176 22.6785694732695 3.4955995828427
59.2378090565536 24.809619093251 7.2955995828427
59.6128267181648 24.6924684956656 0.795599582842701
58.6165336499892 23.8352799434457 4.3955995828427
58.1388888658911 23.8519670074837 8.2955995828427
58.6819323890353 26.518814657148 0.195599582842701
57.4881422612475 26.7135036464257 1.7955995828427
56.0147929134236 24.5041754721924 1.4955995828427
56.5115357298225 23.7373140897989 3.6955995828427
56.1972053596667 24.0105249970704 9.2955995828427
56.4124625765948 23.9502458703002 9.4955995828427
56.8651214472962 22.8314256052228 7.7955995828427
58.3185050536613 23.3494947758912 9.4955995828427
57.3358044285476 24.776689044033 3.3955995828427
57.7264141288935 23.834757721946 3.0955995828427
56.6666616470967 23.1103381584212 -0.104400417157299
56.2361967765143 23.6065752630064 7.7955995828427
56.791960958285 24.2765653479155 -0.00440041715729911
57.0299689889536 24.1420466983609 0.795599582842701
56.422480736372 24.2885504471382 0.995599582842701
57.2040209286448 24.2673045152718 2.4955995828427
57.1090851751312 24.0483002913271 0.795599582842701
