"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V438",15.0954656600952,-39.6846313476562,3.61463928222656,15.1140909194946,14.4531345367432,13.8908138275146,13.5401344299316,0.998639564425837,0.000272133030620125,55.5561920569545,24.3138272267436,1.8590049e-07,1.8589814e-07
"V978",15.9997138977051,-38.9275360107422,3.49433612823486,14.840612411499,14.2393465042114,13.6765613555908,13.3243265151978,0.998637302324694,0.000273210873558694,55.2980490176735,26.2719127076206,5.816858e-07,5.816858e-07
"V56",17.4000549316406,-42.3096618652344,3.0789663696289,13.0164012908936,12.4994010543823,11.9259996414185,11.6294314956665,0.998637029912874,0.145661959691599,56.1066703886442,24.6812621946796,2.6320436e-07,2.6320436e-07
"V75",13.152398109436,-39.4164009094238,4.140305519104,15.9542846679688,15.2011594772339,14.6769237518311,14.2628240585327,0.998636902937404,5.12834849553112e-05,57.895356133424,21.2113058127057,5.87543e-07,5.8743706e-07
"V420",15.3416872024536,-38.3079605102539,4.02148723602295,15.9756774902344,15.2444267272949,14.6670608520508,14.2833642959595,0.99863627100518,9.15418291169701e-08,55.4645706013742,24.324261560467,2.4517766e-07,2.451607e-07
"V427",18.3967876434326,-38.4159355163574,4.23389148712158,16.1161994934082,15.3679914474487,14.8197021484375,14.3652849197388,0.998635298073237,1.89639260694818e-06,55.8540981231603,23.8670672398188,2.9327623e-07,2.932448e-07
"V2739",18.6448936462402,-39.3670234680176,NA,17.6789722442627,16.5988826751709,15.9926414489746,15.4810180664062,0.998634167995502,0.000814138986013235,55.1587391153066,26.6414472763344,1.0248183e-06,1.0248159e-06
"V398",15.3671960830688,-39.3088035583496,3.58692073822021,15.1633043289185,14.5271873474121,14.0012559890747,13.6419553756714,0.998631052633344,5.95561688724322e-05,55.8060743423212,24.1836383476486,1.826161e-07,1.8261422e-07
"V990",16.2751770019531,-42.0208587646484,3.20613025665283,13.7735280990601,13.1911687850952,12.6821770095825,12.366782913208,0.99862598910022,0.0400692568661568,57.1796916016361,26.5391983855069,3.0682583e-07,3.0681204e-07
"V964",15.5064783096313,-42.9761962890625,3.51820755004883,14.7483406066895,14.1764030456543,13.6393928527832,13.2953491210938,0.998617417354875,0.0055953911604818,58.2449230888691,25.438582087551,4.5520835e-07,4.5520835e-07
"V301",11.7129774093628,-37.2890586853027,6.20130157470703,18.9363346099854,17.7144546508789,16.861156463623,16.2513008117676,0.998615404956418,0.000814567480645678,57.1280825974427,22.7472662164537,1.2227016e-06,1.2227016e-06
"V680",15.9629125595093,-43.1308288574219,3.3639128112793,14.2370843887329,13.6312046051025,13.1028995513916,12.7967851257324,0.998613867013813,0.0315207903960957,54.5543526794777,24.6379534350551,3.0572528e-07,3.0572528e-07
"V933",17.0528831481934,-41.223258972168,3.41066455841064,14.715781211853,14.0910758972168,13.5417823791504,13.2304220199585,0.998606808062602,0.000370708601226677,56.542023004,26.0025845708164,1.8939998e-07,1.8939674e-07
"V2679",16.6382617950439,-38.3858947753906,NA,12.4088660049438,11.8819999694824,11.1820001602173,10.9938781356812,0.998602824649408,0.0641090844522545,56.1253347386415,25.5963157451446,5.8425513e-07,5.8409813e-07
"V630",14.582013130188,-37.3728675842285,3.30825923919678,13.9436235427856,13.3672008514404,12.7962994003296,12.5198695755005,0.998599359980764,0.0534703304347852,58.1389481551362,23.8518292669266,3.3186237e-07,3.3186237e-07
"V373",17.3758125305176,-39.0372161865234,3.52723026275635,15.017767906189,14.3838777542114,13.856297492981,13.5247430801392,0.998597574238358,0.000181214049031264,54.9611178504599,23.764565165401,2.0334386e-07,2.0333857e-07
"V623",12.9401912689209,-39.6903686523438,5.45158672332764,17.5728168487549,16.6467914581299,15.9641590118408,15.434157371521,0.998593884522081,0.000164244226683596,58.5222604925706,23.5665262574995,2.6410981e-07,2.6410956e-07
"V758",16.2391624450684,-41.2679405212402,2.92806552886963,12.9446335601807,12.3583974456787,11.710000038147,11.4822051620483,0.998587773238601,0.00158602105952033,56.7251452787828,25.2457712886569,2.1325266e-07,2.1325266e-07
"V83",15.3537559509277,-42.031665802002,3.62971519470215,14.452244758606,13.7896642684937,13.1510124206543,12.784938583374,0.998585564284943,0.0587673320932759,55.1576047268787,21.4062389102097,8.3860124e-07,8.3860124e-07
"V670",12.7266483306885,-39.4113464355469,3.65292167663574,14.6114616394043,13.9722290039062,13.440281867981,13.071174621582,0.998582698127513,0.213142829043898,54.8197693978233,24.9606474090197,4.5987645e-07,4.5987645e-07
"V600",16.2947578430176,-36.3777732849121,3.59882926940918,15.0019626617432,14.3670835494995,13.8462543487549,13.517183303833,0.998582115356832,0.0023133032497531,57.4980866164468,24.1960584880006,1.9104957e-07,1.9104624e-07
"V421",17.4967479705811,-39.0745735168457,3.55407810211182,15.0246810913086,14.4074249267578,13.8721675872803,13.5178709030151,0.998579926165101,0.000205879167708867,55.9313414843124,24.2139239017806,1.820475e-07,1.820475e-07
"V493",14.3139638900757,-37.9102401733398,3.60393238067627,15.0987071990967,14.4415788650513,13.9376306533813,13.5840215682983,0.998578602542361,0.000560835613451327,56.789248754079,24.2596129722263,2.8322046e-07,2.8320963e-07
"V740",15.7674779891968,-38.4832916259766,3.28714965820312,14.1942873001099,13.5871534347534,13.0456581115723,12.7077224349976,0.998575653885588,0.00198976564801256,56.2254208578376,24.446277553215,2.6688394e-07,2.6688394e-07
"V2525",14.7694749832153,-41.3352279663086,1.67099952697754,NA,10.4540004730225,9.96500015258789,9.86100006103516,0.998572059338747,5.69957376850283e-08,59.3888123164521,24.053179354558,4.1103195e-07,4.1097726e-07
"V368",18.3325462341309,-42.0405540466309,3.33506607055664,14.2871246337891,13.6838941574097,13.1590137481689,12.8489377593994,0.998569579338609,0.00771400387736676,55.1067330599963,24.1000262697919,1.8926958e-07,1.8926634e-07
"V2464",16.5421028137207,-39.5733489990234,NA,NA,11.5270004272461,10.9399995803833,10.6859998703003,0.998568635739809,0.222800135129909,56.7893551424401,23.7421244923947,1.7927043e-07,1.7926769e-07
"V78",17.930980682373,-37.0372581481934,3.51368640899658,13.58522605896,12.9977817153931,12.4029998779297,12.0857961273193,0.998560716768954,0.884324434409658,56.1105891595758,24.4864583106221,2.2320245e-07,2.2319713e-07
