DANCe,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,rmag,e_rmag,gmag,e_gmag,imag,e_imag,Y,err_Y,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Pmb,Teff,e_Teff,Lbol,e_Lbol
J033506.04+275652.9,53.7751836111111,27.94803694444444,-32.9,1.7,-16.2,1.7,10.287,0.033,9.783,0.029,9.668,0.016,10.211,0.154,9.565,0.012,,,8.77,0.023,8.63,0.021,8.561,0.017,AAA,8.526,0.023,8.533,0.019,8.548,0.025,8.654,0.439,0.0,0,0,,
J033506.47+273800.6,53.776958611111105,27.633488888888884,-4.8,2.5,-13.2,2.5,11.99,0.131,11.224,0.097,11.083,0.1,,,10.899,0.034,,,10.001,0.021,9.768,0.022,9.668,0.017,AAA,9.627,0.024,9.652,0.02,9.589,0.043,,,0.0,0,0,,
J033506.94+284939.1,53.77891333333333,28.827541388888886,-4.2,2.3,-12.3,2.3,11.569,0.079,9.73,0.029,9.147,0.0,,,,,,,6.574,0.018,5.892,0.026,5.647,0.027,AAA,5.563,0.057,5.505,0.026,5.602,0.014,5.508,0.037,0.0,0,0,,
J033509.62+290724.7,53.790073888888884,29.123534722222217,64.7,2.7,-13.4,2.7,12.514,0.251,11.744,0.176,11.953,0.088,12.636,0.019,11.739,0.016,,,10.703,0.021,10.338,0.022,10.248,0.017,AAA,10.226,0.022,10.29,0.02,10.258,0.065,8.556,0.316,0.0,0,0,,
J033509.75+201315.6,53.79064249999999,20.221001111111107,0.0,1.0,-8.5,1.1,11.073,0.06,9.453,0.024,,,,,,,,,6.817,0.026,6.252,0.017,6.052,0.016,AAA,5.973,0.049,6.092,0.022,6.036,0.016,5.992,0.05,0.0,0,0,,
J033512.30+234434.2,53.801243888888884,23.742841388888884,16.1,1.6,-27.8,1.7,12.004,0.151,11.187,0.109,11.134,0.1,11.657,0.076,10.973,0.037,,,10.049,0.019,9.781,0.021,9.686,0.017,AAA,9.647,0.023,9.671,0.021,9.731,0.049,9.001,0.533,0.0,0,0,,
J033512.65+202449.1,53.80271055555555,20.413639722222218,-5.5,2.5,2.9,2.8,12.834,0.277,12.705,0.288,12.029,0.087,12.577,0.045,12.082,0.527,,,10.832,0.021,10.536,0.021,10.469,0.019,AAA,10.433,0.022,10.439,0.02,10.363,0.073,,,0.0,0,0,,
J033513.05+202854.6,53.80436083333333,20.481836944444442,11.9,1.7,0.1,1.8,12.605,0.238,12.005,0.194,11.351,0.1,11.914,0.041,11.362,0.531,,,10.11,0.022,9.813,0.021,9.718,0.019,AAA,9.67,0.024,9.707,0.021,9.65,0.039,,,0.0,0,0,,
J033514.24+191410.9,53.80933472222222,19.236357499999997,4.8,1.8,-15.0,1.9,13.056,0.321,11.787,0.176,12.235,0.1,12.686,0.014,12.034,0.051,,,11.075,0.021,10.8,0.021,10.727,0.02,AAA,10.65,0.023,10.657,0.021,10.673,0.097,,,0.0,0,0,,
J033514.74+203331.6,53.811432222222216,20.55877083333333,0.6,1.6,-5.4,1.7,12.097,0.14,11.509,0.118,11.511,0.0090,11.813,0.041,11.61,0.519,,,10.522,0.021,10.348,0.021,10.265,0.018,AAA,10.209,0.023,10.213,0.021,10.085,0.056,,,0.0,0,0,,
J033515.30+241813.0,53.813733055555545,24.30360972222222,-7.7,1.2,-11.7,1.3,10.963,0.058,9.923,0.035,9.748,0.064,10.485,0.071,9.432,0.037,,,8.491,0.032,8.128,0.017,8.063,0.026,AAA,8.031,0.023,8.105,0.019,8.069,0.021,7.911,0.192,0.0,0,0,,
J033516.31+295641.2,53.81795527777777,29.944770277777774,36.7,1.1,-29.7,1.1,11.082,0.059,9.436,0.022,9.022,0.274,10.053,0.196,8.405,0.087,,,6.978,0.017,6.387,0.02,6.24,0.02,AAA,6.169,0.047,6.28,0.02,6.246,0.015,6.14,0.056,0.0,0,0,,
J033517.02+283730.1,53.820902222222216,28.625037499999998,17.4,2.6,-9.8,2.8,12.472,0.216,12.531,0.252,12.086,0.054,12.614,0.023,11.837,0.037,,,10.849,0.021,10.519,0.022,10.434,0.018,AAA,10.391,0.023,10.412,0.02,10.531,0.082,,,0.0,0,0,,
J033517.32+210849.6,53.82218027777777,21.147116666666665,-3.2,2.6,-8.1,2.7,13.314,0.394,11.675,0.152,11.307,0.02,12.369,0.037,11.195,0.513,,,9.489,0.021,8.897,0.018,8.733,0.017,AAA,8.663,0.024,8.801,0.021,8.658,0.025,9.009,0.5,0.0,0,0,,
J033517.55+190659.2,53.82310499999999,19.116437499999996,0.0,1.8,-13.2,2.0,12.616,0.248,12.309,0.224,12.155,0.1,12.436,0.02,12.027,0.065,,,11.2,0.021,11.017,0.019,10.951,0.019,AAA,10.892,0.023,10.895,0.02,10.904,0.13,,,0.0,0,0,,
J033517.79+275034.6,53.824143333333325,27.84294833333333,-4.1,2.3,-8.2,2.3,11.173,0.069,10.178,0.041,10.158,0.013,11.076,0.0050,9.738,0.021,,,8.358,0.027,7.827,0.017,7.666,0.017,AAA,7.615,0.024,7.681,0.022,7.609,0.017,7.726,0.149,0.0,0,0,,
J033517.83+250617.8,53.82429333333333,25.104956666666663,7.7,2.0,-17.1,2.1,12.268,0.172,12.102,0.201,11.557,0.033,12.015,0.057,11.385,0.021,,,10.49,0.021,10.217,0.02,10.167,0.017,AAA,10.145,0.024,10.159,0.022,10.172,0.061,8.549,0.31,0.0,0,0,,
J033518.50+223638.8,53.8270911111111,22.610773611111107,21.2,1.3,-26.1,1.4,11.091,0.055,9.756,0.028,9.115,0.016,10.349,0.063,8.696,0.059,,,7.083,0.023,6.502,0.02,6.341,0.018,AAA,6.199,0.046,6.3,0.02,6.279,0.015,6.21,0.057,0.0,0,0,,
J033520.04+211459.2,53.83351749999999,21.249769166666663,-7.8,1.4,-23.4,1.6,12.137,0.157,11.643,0.147,11.447,0.1,11.935,0.036,11.53,0.519,,,10.331,0.021,10.071,0.018,9.977,0.019,AAA,9.86,0.022,9.874,0.021,9.938,0.055,8.7,0.379,0.0,0,0,,
J033520.17+280431.9,53.83404805555555,28.075521388888884,-2.4,2.7,-1.7,2.7,12.37,0.194,11.72,0.155,11.766,0.012,12.135,0.011,11.59,0.01,,,10.697,0.021,10.475,0.022,10.393,0.02,AAA,10.361,0.023,10.384,0.021,10.42,0.079,,,0.0,0,0,,
J033520.42+265100.3,53.83508388888888,26.85009555555555,27.2,1.2,-31.3,1.2,9.211,0.019,8.754,0.015,,,,,,,,,7.738,0.026,7.518,0.017,7.48,0.027,AAA,7.445,0.029,7.462,0.021,7.479,0.017,7.358,0.115,2.0E-4,0,0,,
J033521.13+295446.3,53.83805638888888,29.912847499999994,-6.6,2.5,-1.3,2.6,12.045,0.146,11.885,0.195,12.19,0.011,12.056,0.054,12.253,0.041,,,11.847,0.02,11.856,0.022,11.868,0.02,AAA,11.878,0.024,11.931,0.023,11.962,0.334,,,0.0,0,0,,
J033521.33+265109.8,53.83887805555555,26.85271083333333,30.4,1.9,-30.8,1.9,11.237,0.072,10.877,0.08,10.332,0.01,,,,,,,9.405,0.021,9.192,0.022,9.131,0.018,AAA,9.099,0.024,9.125,0.022,9.139,0.031,,,0.0,0,0,,
J033521.46+235704.6,53.839414722222216,23.951277499999996,-45.4,1.3,-47.2,1.3,10.984,0.062,10.167,0.044,9.936,0.1,10.54,0.101,9.79,0.022,,,8.924,0.034,8.652,0.024,8.603,0.017,AAA,8.585,0.023,8.627,0.019,8.611,0.026,8.316,0.308,0.0,0,0,,
J033522.37+285009.1,53.84322277777777,28.835849999999997,9.7,2.6,-4.4,2.7,12.552,0.228,12.279,0.219,12.055,0.0090,12.735,0.016,11.682,0.014,,,10.509,0.021,10.12,0.022,10.032,0.018,AAA,9.954,0.022,9.981,0.02,9.925,0.051,,,0.0,0,0,,
J033523.15+251601.2,53.84645222222222,25.26700861111111,6.2,1.7,-0.3,1.7,11.841,0.102,9.961,0.035,9.378,0.0,,,8.613,0.057,,,6.846,0.021,6.094,0.021,5.866,0.02,AAA,5.757,0.056,5.827,0.025,5.823,0.015,5.746,0.039,0.0,0,0,,
J033523.14+273132.5,53.84642277777777,27.525701388888887,-27.9,1.4,-1.3,1.3,9.36,0.021,8.791,0.016,9.274,0.241,9.992,0.101,8.682,0.157,,,7.664,0.018,7.408,0.017,7.353,0.023,AAA,7.338,0.025,7.377,0.02,7.399,0.017,7.55,0.134,0.0,0,0,,
J033523.22+293631.6,53.84675694444444,29.608765277777774,-1.7,4.0,-10.2,4.2,13.433,0.45,12.211,0.239,11.715,0.017,,,,,,,9.766,0.021,9.19,0.022,9.026,0.021,AAA,8.939,0.024,9.049,0.021,8.957,0.03,8.595,0.353,0.0,0,0,,
J033523.33+201358.3,53.84720972222222,20.232871388888885,26.9,1.7,-1.1,1.8,12.579,0.251,11.407,0.118,11.089,0.1,,,,,,,9.984,0.021,9.616,0.016,9.538,0.019,AAA,9.457,0.022,9.483,0.02,9.38,0.036,,,0.0,0,0,,
J033525.46+271642.0,53.856087222222214,27.278322499999998,4.8,2.8,-14.5,2.9,12.858,0.286,11.717,0.165,12.324,0.1,12.83,0.021,12.118,0.023,,,11.193,0.025,10.905,0.029,10.812,0.023,AAA,10.663,0.023,10.696,0.021,10.831,0.114,,,0.0,0,0,,
J033525.58+293533.6,53.85659249999999,29.592655277777773,-7.7,2.9,-10.1,3.1,13.593,0.464,11.845,0.195,11.082,0.015,12.312,0.03,10.497,0.037,,,8.837,0.021,8.078,0.029,7.925,0.02,AAA,7.837,0.024,7.98,0.021,7.873,0.019,7.644,0.147,0.0,0,0,,
J033526.17+275047.6,53.859039444444434,27.846564166666663,34.0,1.5,-29.2,1.3,8.51,0.017,8.156,0.013,9.004,0.251,9.81,0.086,8.389,0.178,,,7.472,0.029,7.374,0.017,7.321,0.017,AAA,7.341,0.03,7.35,0.022,7.37,0.017,7.352,0.113,0.0,0,0,,
J033526.39+240453.8,53.85995333333333,24.081619166666663,15.6,1.5,-7.2,1.6,12.088,0.168,10.788,0.077,10.75,0.1,11.224,0.07,10.577,0.022,,,9.638,0.021,9.458,0.022,9.334,0.017,AAA,9.332,0.023,9.367,0.02,9.356,0.037,8.962,0.457,0.0,0,0,,
J033527.45+260715.9,53.8643836111111,26.121090277777775,-6.3,2.2,4.1,2.2,11.296,0.071,10.485,0.052,10.389,0.1,10.919,0.061,10.13,0.011,,,9.187,0.021,8.742,0.024,8.719,0.018,AAA,8.686,0.023,8.74,0.02,8.68,0.025,8.706,0.396,0.0,0,0,,
J033528.02+202242.3,53.86673444444444,20.37842361111111,12.0,2.6,-6.1,2.7,13.274,0.389,11.879,0.183,11.839,0.095,12.512,0.037,11.888,0.531,,,10.563,0.021,10.257,0.016,10.153,0.019,AAA,10.1,0.023,10.133,0.021,10.043,0.054,,,0.0,0,0,,
J033528.35+245558.4,53.868133611111105,24.932884999999995,-8.8,1.8,-3.6,1.8,11.808,0.092,10.722,0.061,10.172,0.1,11.092,0.046,9.795,0.038,,,8.48,0.024,7.926,0.016,7.802,0.02,AAA,7.777,0.024,7.852,0.02,7.806,0.019,8.12,0.227,0.0,0,0,,
J033528.43+210427.2,53.86845472222222,21.074212499999998,-3.5,2.0,-7.6,2.2,12.272,0.19,12.277,0.246,11.741,0.024,12.228,0.035,11.836,0.512,,,10.638,0.022,10.328,0.016,10.27,0.018,AAA,10.201,0.024,10.235,0.023,10.284,0.066,,,0.0,0,0,,
