DANCe,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,rmag,e_rmag,gmag,e_gmag,imag,e_imag,Y,err_Y,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Pmb,Teff,e_Teff,Lbol,e_Lbol
J032811.07+271826.0,52.04613749999999,27.30722333333333,20.0,1.7,-47.4,1.7,11.756,0.088,10.931,0.072,10.587,0.027,11.101,0.044,10.376,0.039,,,9.501,0.024,9.211,0.033,9.1,0.02,AAA,9.038,0.025,9.072,0.022,9.044,0.029,8.959,0.468,0.9915,5500,125,0.8005,0.14
J032856.70+261831.0,52.236255833333324,26.308622777777774,21.8,1.1,-49.8,1.1,8.779,0.019,8.435,0.015,,,,,,,,,7.741,0.035,7.681,0.063,7.593,0.021,AAA,7.564,0.025,7.592,0.02,7.597,0.018,7.503,0.134,0.9948,7000,125,5.62,0.93
J032938.35+243037.6,52.40980222222222,24.510456944444442,22.7,2.3,-42.8,2.5,15.325,0.94,11.804,0.18,11.892,0.1,12.595,0.021,11.565,0.061,,,10.318,0.026,9.856,0.03,9.698,0.018,AAA,9.646,0.022,9.655,0.021,9.648,0.047,,,0.9385,4750,125,0.3207,0.059
J033115.95+251519.7,52.81646666666666,25.25546944444444,22.2,0.8,-45.3,0.8,8.44,0.016,8.165,0.013,9.179,0.071,9.751,0.105,8.417,0.095,,,7.587,0.019,7.507,0.021,7.457,0.018,AAA,7.416,0.026,7.45,0.021,7.445,0.018,7.273,0.118,0.9986,7250,125,6.887,1.2
J033128.34+214918.9,52.86809416666666,21.821909166666664,23.8,0.7,-48.8,0.7,9.352,0.021,8.884,0.016,9.223,0.029,9.791,0.034,8.769,0.0040,,,8.071,0.023,7.89,0.017,7.824,0.023,AAA,7.808,0.024,7.84,0.021,7.791,0.018,7.818,0.185,0.878,6500,125,3.923,0.65
J033133.63+261555.8,52.8901086111111,26.26548694444444,20.4,2.2,-37.9,2.4,11.62,0.09,10.75,0.068,10.577,0.1,11.047,0.041,10.367,0.012,,,9.514,0.02,9.222,0.022,9.068,0.017,AAA,9.048,0.022,9.097,0.02,9.059,0.031,8.7,0.419,0.9734,5750,125,0.8515,0.15
J033305.82+220803.2,53.27426499999999,22.134220277777775,21.4,1.6,-49.3,1.7,12.306,0.225,11.521,0.149,11.135,0.011,11.775,0.017,10.934,0.045,,,9.897,0.018,9.522,0.017,9.425,0.02,AAA,9.401,0.022,9.458,0.021,9.415,0.037,8.866,0.491,0.9662,5250,125,0.5079,0.096
J033313.88+230023.1,53.30782944444444,23.006412499999996,19.5,2.5,-49.2,2.6,13.42,0.38,11.535,0.118,11.668,0.1,12.441,0.06,11.377,0.042,,,10.259,0.02,9.787,0.021,9.669,0.014,AAA,9.608,0.024,9.663,0.02,9.662,0.045,,,0.9566,5000,125,0.3647,0.069
J033401.81+245251.2,53.507544722222214,24.88089944444444,20.8,1.6,-42.1,1.6,11.704,0.079,10.932,0.072,10.691,0.011,11.236,0.049,10.506,0.025,9.632728881835938,0.22000773304432855,9.582,0.022,9.269,0.022,9.178,0.018,AAA,9.142,0.022,9.188,0.02,9.213,0.037,,,0.9763,5500,125,0.7439,0.13
J033407.31+242040.0,53.53045749999999,24.344443611111107,20.8,0.9,-43.5,0.9,10.119,0.032,9.645,0.03,9.431,0.1,10.309,0.053,9.329,0.028,,,8.553,0.034,8.312,0.021,8.274,0.018,AAA,8.259,0.022,8.283,0.02,8.255,0.022,8.451,0.322,0.9985,6250,125,2.266,0.39
J033458.66+233148.5,53.744432222222216,23.53014861111111,20.2,1.0,-42.5,0.9,9.281,0.022,8.891,0.019,,,,,,,,,8.11,0.024,8.02,0.015,7.957,0.023,AAA,7.912,0.023,7.932,0.021,7.902,0.02,7.358,0.12,0.9959,6750,125,3.836,0.63
J033531.69+224924.9,53.88205527777777,22.823589999999996,21.0,1.2,-44.4,1.3,10.484,0.036,9.897,0.032,9.73,0.0020,,,9.602,0.026,8.950224227905274,0.220004957754268,8.831,0.026,8.599,0.024,8.541,0.017,AAA,8.51,0.024,8.561,0.02,8.496,0.023,8.338,0.277,0.999,6250,125,1.75,0.29
J033608.46+272034.7,54.035241388888885,27.34297583333333,22.5,1.3,-48.2,1.2,10.001,0.028,9.367,0.022,9.152,0.1,,,9.128,0.046,,,8.188,0.018,7.916,0.017,7.88,0.029,AAA,7.848,0.024,7.876,0.022,7.842,0.019,7.872,0.195,0.928,6000,125,2.971,0.51
J033610.76+261552.4,54.04483027777777,26.264551388888886,9.7,2.1,-48.8,2.1,10.942,0.056,10.339,0.047,10.063,0.1,,,9.894,0.0040,,,9.043,0.023,8.784,0.026,8.713,0.018,AAA,8.674,0.023,8.703,0.021,8.687,0.025,8.789,0.402,0.4979,5750,125,1.283,0.22
J033704.01+292355.5,54.26671194444444,29.39873944444444,26.7,1.9,-42.7,2.0,11.719,0.1,10.7,0.068,10.324,0.077,10.935,0.022,10.085,0.026,,,9.118,0.022,8.762,0.026,8.676,0.018,AAA,8.619,0.023,8.66,0.022,8.683,0.027,,,0.484,5250,125,1.04,0.18
J033724.05+222103.6,54.35019138888888,22.350988888888885,19.1,0.8,-45.4,0.8,9.787,0.024,9.215,0.019,9.55,0.229,10.056,0.071,9.021,0.082,,,8.141,0.021,7.946,0.017,7.902,0.027,AAA,7.834,0.023,7.87,0.02,7.885,0.021,8.2,0.314,0.9499,6000,125,2.959,0.53
J033734.91+241411.7,54.39545111111111,24.23657611111111,16.8,1.2,-39.7,1.3,11.454,0.075,10.66,0.061,10.458,0.037,10.883,0.061,10.246,0.053,,,9.363,0.022,9.124,0.022,9.021,0.017,AAA,8.98,0.024,9.012,0.022,8.969,0.029,8.972,0.498,0.6395,5750,125,0.9376,0.16
J033822.58+222958.9,54.594067777777774,22.499681666666664,19.4,1.0,-44.0,1.0,10.824,0.047,10.107,0.036,9.978,0.1,10.485,0.039,9.8,0.027,,,9.018,0.03,8.775,0.023,8.696,0.018,AAA,8.643,0.022,8.693,0.019,8.685,0.03,,,0.9977,6000,125,1.408,0.24
J033840.72+223934.6,54.669666111111106,22.65961222222222,19.5,0.8,-45.6,0.7,6.685,0.014,6.699,0.01,,,,,,,,,6.641,0.026,6.675,0.017,6.672,0.021,AAA,6.658,0.038,6.668,0.02,6.747,0.016,6.624,0.095,0.9987,9000,125,35.12,5.7
J033856.86+243411.3,54.73691527777777,24.56979833333333,18.1,1.7,-43.8,1.8,11.32,0.072,10.613,0.057,10.356,0.028,10.859,0.067,10.168,0.064,,,9.358,0.029,9.053,0.032,9.041,0.02,AAA,8.919,0.024,8.962,0.021,8.932,0.031,8.666,0.434,0.9825,5750,125,0.9876,0.17
J033906.72+244210.3,54.77801583333333,24.702869999999997,21.5,1.3,-46.5,1.1,7.148,0.015,7.104,0.01,,,,,,,,,6.979,0.024,7.025,0.038,7.032,0.02,AAA,6.98,0.035,7.015,0.021,7.001,0.017,6.338,0.072,0.9924,9250,125,26.29,4.2
J033909.13+242204.1,54.78802305555555,24.367797777777774,19.9,1.2,-41.8,1.2,10.512,0.038,9.884,0.032,9.697,0.1,10.271,0.089,9.556,0.047,,,8.728,0.024,8.54,0.063,8.434,0.024,AAA,8.358,0.023,8.371,0.02,8.339,0.023,8.325,0.312,0.9899,6000,125,1.823,0.32
J033913.20+215035.7,54.805006944444436,21.843249722222218,20.6,1.1,-42.4,1.0,7.35,0.015,7.272,0.011,8.847,0.0,,,8.103,0.055,,,7.06,0.018,7.059,0.016,7.052,0.021,AAA,7.067,0.03,7.081,0.019,7.098,0.018,7.0,0.1,0.9936,8750,125,18.23,3.0
J033913.47+242759.5,54.80613777777777,24.466519166666664,20.2,1.6,-44.0,1.7,11.095,0.058,10.488,0.051,10.207,0.1,10.719,0.045,10.046,0.038,,,9.232,0.023,8.999,0.033,8.905,0.022,AAA,8.813,0.023,8.834,0.021,8.834,0.029,8.835,0.444,0.9921,5750,125,1.114,0.19
J033927.81+235342.0,54.865868333333324,23.89499861111111,21.0,1.7,-45.2,1.7,12.779,0.271,11.672,0.142,11.252,0.034,12.014,0.058,11.017,0.041,,,9.957,0.026,9.556,0.032,9.475,0.02,AAA,9.419,0.023,9.476,0.021,9.372,0.041,,,0.9732,5000,125,0.449,0.084
J033941.18+231727.2,54.921563055555545,23.290886388888886,22.2,1.0,-43.7,1.1,10.686,0.045,9.999,0.036,9.809,0.1,,,9.649,0.01,,,8.92,0.02,8.686,0.02,8.634,0.019,AAA,8.58,0.024,8.608,0.021,8.401,0.029,7.326,0.135,0.9974,6000,125,1.582,0.27
J033951.16+251141.5,54.96316916666666,25.194851666666665,18.7,1.1,-43.3,1.0,9.22,0.02,8.881,0.017,8.894,0.0,,,,,,,8.086,0.034,7.936,0.047,7.911,0.018,AAA,7.881,0.023,7.912,0.019,7.921,0.021,7.863,0.196,0.9971,6750,125,3.892,0.65
J034003.08+274425.8,55.012832499999995,27.740510277777773,17.8,1.6,-46.3,1.6,10.234,0.032,9.626,0.026,9.611,0.049,10.261,0.042,9.358,0.048,,,8.638,0.026,8.479,0.055,8.373,0.027,AAA,8.334,0.023,8.36,0.021,8.313,0.021,8.111,0.223,0.9978,6000,125,2.017,0.35
J034005.76+261147.0,55.023979722222215,26.19640083333333,24.1,2.5,-47.3,2.5,12.136,0.144,11.166,0.083,11.005,0.1,11.59,0.076,10.734,0.037,,,9.758,0.023,9.383,0.031,9.264,0.019,AAA,9.2,0.023,9.235,0.021,9.242,0.037,,,0.9895,5250,125,0.6112,0.11
J034021.88+260419.4,55.091176944444435,26.07204361111111,17.1,4.3,-37.7,4.4,13.974,0.474,12.123,0.193,11.833,0.1,12.645,0.078,11.398,0.027,,,10.194,0.024,9.666,0.031,9.516,0.021,AAA,9.446,0.022,9.458,0.021,9.406,0.037,8.212,0.244,0.8288,4500,125,0.329,0.063
J034030.73+242914.1,55.12803222222222,24.487252499999997,19.9,2.2,-45.1,2.2,14.139,0.588,12.051,0.225,11.463,0.1,12.216,0.053,11.208,0.071,,,10.082,0.019,9.659,0.029,9.556,0.021,AAA,9.473,0.022,9.49,0.02,9.424,0.041,,,0.8626,5000,125,0.3861,0.074
J034034.36+234057.4,55.143155833333324,23.68260333333333,19.8,1.5,-46.0,1.5,11.669,0.085,10.819,0.069,10.667,0.029,11.283,0.072,10.475,0.029,,,9.585,0.02,9.241,0.021,9.148,0.017,AAA,9.104,0.023,9.147,0.021,9.157,0.036,,,0.9959,5500,125,0.7702,0.14
J034038.52+284617.8,55.16051833333333,28.771622499999996,21.0,2.0,-39.7,1.9,7.999,0.018,7.844,0.014,,,,,,,,,7.567,0.03,7.543,0.053,7.489,0.027,AAA,7.437,0.061,7.495,0.028,7.499,0.026,7.265,0.187,0.54,8250,125,9.302,1.5
J034038.77+284624.0,55.16153249999999,28.773332499999995,20.5,1.9,-38.1,1.8,7.547,0.017,7.405,0.012,,,,,,,,,7.058,0.03,7.009,0.042,7.008,0.016,AAA,6.956,0.054,6.984,0.023,7.067,0.019,6.906,0.136,0.7177,8250,125,14.28,2.4
J034050.44+232506.5,55.210157222222215,23.418465555555553,21.5,1.6,-43.0,1.7,11.931,0.128,11.091,0.099,10.669,0.018,11.185,0.053,10.425,0.024,,,9.531,0.021,9.192,0.023,9.123,0.018,AAA,9.088,0.022,9.112,0.019,9.226,0.047,,,0.968,5500,125,0.7491,0.13
J034122.97+232913.0,55.34569416666666,23.486939166666662,22.3,0.9,-44.5,0.9,9.627,0.024,9.221,0.021,9.087,0.1,,,8.973,0.03,,,8.279,0.021,8.178,0.02,8.094,0.015,AAA,8.023,0.023,8.051,0.02,8.045,0.021,8.207,0.301,0.9965,6500,125,3.088,0.53
J034127.83+234229.9,55.36594055555555,23.708310277777773,18.7,1.5,-48.5,1.6,12.153,0.156,11.234,0.1,10.9,0.1,11.544,0.059,10.706,0.026,,,9.761,0.02,9.407,0.023,9.313,0.018,AAA,9.277,0.024,9.339,0.019,9.308,0.038,,,0.9846,5500,125,0.6138,0.11
J034136.17+253709.6,55.40071555555555,25.619328611111108,21.1,1.7,-44.7,1.7,10.641,0.045,10.178,0.042,9.909,0.019,10.45,0.01,9.763,0.054,,,8.959,0.029,8.657,0.03,8.593,0.023,AAA,8.515,0.023,8.536,0.021,8.537,0.025,8.777,0.408,0.9995,5750,125,1.489,0.25
J034204.72+225130.8,55.51967222222221,22.85855805555555,21.1,0.9,-43.5,0.9,9.718,0.029,9.27,0.025,9.052,0.0080,,,,,,,8.236,0.019,8.033,0.023,8.002,0.029,AAA,7.963,0.024,7.99,0.021,8.016,0.021,8.064,0.217,0.9961,6500,125,3.126,0.52
J034208.77+284749.0,55.53654333333333,28.796937777777774,16.0,2.3,-39.8,2.3,11.371,0.093,10.714,0.082,10.413,0.026,10.904,0.051,10.116,0.029,,,9.148,0.027,8.801,0.031,8.656,0.022,AAA,8.579,0.022,8.586,0.021,8.543,0.026,8.351,0.264,0.907,5250,125,1.077,0.19
J034224.00+212824.6,55.5999886111111,21.473490555555554,23.3,0.9,-48.4,0.9,10.453,0.036,9.83,0.03,9.679,0.1,10.333,0.087,9.588,0.036,,,8.797,0.021,8.604,0.029,8.526,0.019,AAA,8.463,0.023,8.498,0.02,8.468,0.024,7.851,0.175,0.9913,6000,125,1.752,0.31
J034224.02+222516.1,55.60010166666666,22.421127222222218,20.4,1.0,-46.8,1.0,11.057,0.063,10.431,0.054,10.236,0.017,10.714,0.055,9.987,0.026,,,9.117,0.022,8.868,0.026,8.758,0.018,AAA,8.71,0.022,8.738,0.019,8.725,0.029,8.575,0.376,0.9951,5750,125,1.19,0.2
J034229.87+200859.9,55.62445277777777,20.149986111111108,19.4,1.1,-46.8,1.1,8.806,0.02,8.434,0.017,,,,,,,,,7.753,0.018,7.671,0.021,7.652,0.016,AAA,7.591,0.024,7.605,0.02,7.628,0.018,7.918,0.184,0.9982,7250,125,5.638,0.93
J034255.11+242935.1,55.72964333333333,24.493076111111108,19.9,1.1,-43.2,1.1,9.924,0.028,9.539,0.027,9.361,0.1,10.154,0.187,9.289,0.046,,,8.514,0.019,8.325,0.031,8.263,0.02,AAA,8.209,0.025,8.239,0.021,8.2,0.022,8.388,0.396,0.9976,6250,125,2.369,0.43
J034302.94+244011.1,55.76226416666666,24.669759166666662,21.8,3.7,-48.8,3.7,13.078,0.384,11.41,0.125,11.659,0.052,12.385,0.025,11.38,0.031,,,10.275,0.023,9.808,0.03,9.727,0.019,AAA,9.667,0.023,9.72,0.02,9.743,0.056,,,0.9304,5000,125,0.3675,0.072
J034313.60+251612.7,55.806659444444435,25.270183888888887,14.9,2.7,-46.2,2.8,13.179,0.395,12.078,0.227,11.712,0.1,12.745,0.011,11.59,0.043,,,10.254,0.023,9.851,0.032,9.665,0.022,AAA,9.624,0.023,9.644,0.019,9.537,0.043,9.01,0.519,0.7308,4750,125,0.3194,0.065
J034319.03+222657.3,55.829290555555545,22.44923833333333,22.5,2.4,-45.6,2.6,13.165,0.369,11.754,0.181,11.21,0.1,11.993,0.01,10.867,0.043,,,9.639,0.02,9.16,0.019,9.026,0.02,AAA,8.965,0.023,8.989,0.02,9.006,0.034,,,0.8382,4750,125,0.5514,0.1
J034324.53+231333.3,55.85222833333333,23.225924999999997,17.8,1.5,-41.0,1.5,11.513,0.077,10.738,0.064,10.343,0.0040,10.887,0.044,10.07,0.029,9.153702087402344,0.22000596881338672,9.101,0.019,8.722,0.017,8.655,0.018,AAA,8.53,0.024,8.553,0.021,8.484,0.023,8.499,0.343,0.951,5250,125,1.102,0.19
J034327.13+252315.3,55.863056111111106,25.387591388888886,21.0,1.7,-47.3,1.8,12.141,0.16,11.309,0.107,11.082,0.018,11.863,0.0060,10.885,0.039,,,9.752,0.022,9.311,0.028,9.218,0.023,AAA,9.145,0.023,9.189,0.02,9.02,0.032,,,0.9955,5000,125,0.5795,0.11
J034331.13+220930.1,55.87970416666666,22.15836472222222,20.4,1.3,-46.6,1.4,11.302,0.074,10.543,0.054,10.215,0.028,,,,,,,9.086,0.02,8.819,0.021,8.777,0.021,AAA,8.687,0.025,8.714,0.022,8.733,0.027,8.39,0.308,0.9856,5500,125,1.113,0.19
J034331.95+234026.6,55.88314499999999,23.674046111111107,20.7,1.5,-46.7,1.5,11.542,0.084,10.875,0.077,10.596,0.026,11.115,0.046,10.411,0.021,,,9.527,0.019,9.192,0.015,9.103,0.02,AAA,9.05,0.023,9.095,0.02,8.94,0.03,,,0.9972,5500,125,0.8163,0.14
J034334.39+234542.8,55.89330499999999,23.761896666666665,20.2,2.4,-45.1,2.5,12.559,0.249,11.928,0.199,11.156,0.1,11.86,0.051,10.934,0.043,,,9.865,0.018,9.476,0.019,9.37,0.02,AAA,9.273,0.024,9.312,0.022,9.288,0.044,,,0.9938,5000,125,0.487,0.093
J034337.73+233209.5,55.907199999999996,23.53596833333333,19.4,2.0,-47.8,2.1,11.54,0.082,10.746,0.067,10.562,0.029,11.073,0.061,10.374,0.026,,,9.529,0.019,9.191,0.017,9.124,0.02,AAA,9.033,0.023,9.085,0.019,8.982,0.032,8.588,0.361,0.9946,5500,125,0.8364,0.15
J034341.53+233856.9,55.92305833333332,23.649149999999995,19.9,1.0,-44.1,1.0,8.328,0.017,7.961,0.012,8.815,0.024,9.579,0.044,8.062,0.049,,,7.198,0.026,7.07,0.02,7.028,0.023,AAA,6.976,0.036,6.996,0.02,6.753,0.015,5.306,0.038,0.991,6750,125,9.508,1.6
J034342.88+233541.2,55.92865305555555,23.59478722222222,21.4,1.1,-45.6,1.0,10.137,0.029,9.609,0.026,9.401,0.025,9.992,0.153,9.313,0.034,,,8.535,0.021,8.316,0.017,8.233,0.026,AAA,8.2,0.022,8.229,0.021,8.098,0.023,7.871,0.187,0.9945,6000,125,2.274,0.4
J034343.20+250450.6,55.92998166666666,25.080713333333332,20.5,1.3,-51.1,1.2,7.703,0.016,7.537,0.012,,,,,,,,,7.207,0.021,7.241,0.059,7.168,0.026,AAA,7.138,0.03,7.15,0.02,7.183,0.018,6.934,0.091,0.9918,8250,125,12.5,2.1
J034343.24+242228.5,55.930186388888885,24.37458083333333,18.0,1.0,-43.9,0.9,8.576,0.019,8.291,0.015,9.122,0.011,9.778,0.069,8.477,0.058,,,7.692,0.039,7.61,0.055,7.561,0.018,AAA,7.531,0.026,7.551,0.021,7.139,0.017,5.751,0.044,0.9982,7000,125,6.392,1.1
J034347.48+231242.4,55.947848888888885,23.211789166666662,20.8,1.5,-40.5,1.5,11.707,0.085,10.568,0.052,10.294,0.0040,10.959,0.041,10.033,0.027,,,9.034,0.024,8.682,0.026,8.552,0.018,AAA,8.491,0.023,8.54,0.021,8.491,0.024,7.744,0.155,0.9753,5250,125,1.135,0.19
J034348.34+250015.7,55.95143694444444,25.00437111111111,22.0,2.0,-45.7,2.1,12.011,0.131,11.802,0.185,11.427,0.1,12.028,0.015,11.069,0.054,10.013760871887207,0.22001023069799228,9.958,0.026,9.496,0.032,9.374,0.018,AAA,9.274,0.024,9.301,0.022,9.3,0.038,,,0.9965,5000,125,0.4866,0.091
J034348.41+251124.3,55.95168999999999,25.19006972222222,19.8,1.8,-45.0,1.9,11.966,0.135,10.875,0.078,10.57,0.1,11.303,0.014,10.36,0.05,,,9.326,0.021,8.962,0.03,8.827,0.018,AAA,8.752,0.023,8.807,0.019,8.758,0.031,,,0.932,5250,125,0.8737,0.16
J034350.71+241450.9,55.961276666666656,24.247475555555553,22.0,1.8,-47.4,1.9,11.709,0.105,10.983,0.092,11.115,0.0080,11.685,0.049,10.874,0.046,,,9.833,0.024,9.429,0.036,9.344,0.018,AAA,9.274,0.024,9.292,0.02,9.263,0.041,,,0.9938,5250,125,0.6111,0.11
J034358.80+235257.9,55.99501416666666,23.88273833333333,20.6,1.2,-44.4,1.2,10.378,0.04,9.763,0.034,9.499,0.034,10.195,0.148,9.419,0.042,,,8.6,0.035,8.42,0.042,8.308,0.024,AAA,8.24,0.023,8.285,0.02,8.251,0.028,7.222,0.12,0.9927,6000,125,2.034,0.36
J034400.27+243325.2,56.00111722222221,24.55699444444444,20.1,1.2,-45.9,1.1,8.321,0.018,8.086,0.014,9.051,0.0,,,8.388,0.091,,,7.633,0.037,7.618,0.044,7.583,0.018,AAA,7.529,0.025,7.55,0.02,7.324,0.017,6.532,0.08,0.9993,7500,125,7.14,1.2
J034400.59+233238.2,56.002446944444436,23.543945277777773,17.2,2.2,-45.0,2.2,12.223,0.177,11.088,0.089,10.835,0.033,11.39,0.049,10.558,0.023,,,9.65,0.019,9.274,0.017,9.199,0.02,AAA,9.093,0.023,9.133,0.02,8.996,0.03,8.131,0.25,0.7169,5250,125,0.6785,0.12
J034403.55+243015.2,56.014803333333326,24.504232222222218,24.4,1.9,-45.0,2.1,11.734,0.106,10.999,0.093,10.623,0.011,11.131,0.034,10.394,0.043,,,9.405,0.023,9.118,0.029,8.953,0.02,AAA,8.863,0.024,8.882,0.021,8.804,0.03,,,0.9868,5250,125,0.8317,0.15
J034404.24+245923.4,56.01765472222222,24.989821666666664,16.6,1.8,-47.1,1.8,11.562,0.08,10.833,0.071,10.588,0.1,11.081,0.032,10.371,0.048,,,9.499,0.027,9.168,0.047,9.061,0.02,AAA,8.994,0.024,9.026,0.02,8.938,0.032,8.734,0.404,0.9932,5500,125,0.843,0.15
J034411.20+232245.6,56.046674722222214,23.37934111111111,24.5,1.6,-45.1,1.7,12.019,0.124,11.641,0.132,11.235,0.022,11.871,0.067,10.955,0.041,,,9.956,0.02,9.512,0.023,9.408,0.022,AAA,9.308,0.024,9.336,0.02,9.173,0.038,7.873,0.19,0.9887,5000,125,0.5036,0.092
J034413.92+244645.8,56.0579936111111,24.77938694444444,21.2,1.8,-46.0,1.8,11.748,0.112,10.918,0.092,10.583,0.1,11.136,0.027,10.416,0.044,9.62931282043457,0.2200081507508644,9.53,0.024,9.172,0.032,9.062,0.022,AAA,9.028,0.023,9.084,0.021,9.023,0.035,7.581,0.179,0.9966,5500,125,0.8009,0.14
J034415.36+261952.4,56.06400944444444,26.331226111111107,20.0,1.9,-42.7,2.0,11.792,0.107,10.942,0.096,10.865,0.017,11.357,0.069,10.619,0.026,,,9.705,0.024,9.31,0.028,9.269,0.022,AAA,9.227,0.023,9.272,0.02,9.325,0.04,,,0.9744,5500,125,0.6852,0.12
J034420.09+244746.3,56.08369249999999,24.79618722222222,18.4,1.6,-44.3,1.7,11.174,0.071,10.495,0.058,10.374,0.1,11.067,0.023,10.337,0.035,9.441816635131836,0.22000726883080607,9.339,0.023,8.996,0.031,8.9,0.02,AAA,8.872,0.023,8.901,0.021,8.858,0.035,8.4,0.33,0.9971,5500,125,0.9933,0.17
J034423.55+240757.6,56.09810583333333,24.13266194444444,21.1,1.1,-43.6,1.1,9.65,0.028,9.164,0.023,9.368,0.131,9.96,0.168,8.921,0.035,,,8.083,0.027,7.811,0.031,7.769,0.031,AAA,7.682,0.025,7.695,0.022,7.46,0.025,6.123,0.085,0.9975,6000,125,3.6,0.59
J034425.72+242341.0,56.10716027777777,24.39471972222222,22.7,1.1,-48.7,1.0,8.465,0.018,8.141,0.015,9.109,0.01,9.774,0.048,8.421,0.07,,,7.588,0.018,7.528,0.04,7.47,0.023,AAA,7.452,0.026,7.47,0.02,7.479,0.02,7.255,0.133,0.9931,7250,125,6.788,1.1
J034439.66+220647.9,56.16525416666666,22.11329972222222,18.9,1.5,-45.5,1.6,12.087,0.161,11.098,0.1,10.879,0.0040,11.438,0.044,10.589,0.018,,,9.639,0.02,9.249,0.019,9.127,0.017,AAA,9.045,0.022,9.081,0.019,9.137,0.037,,,0.9981,5250,125,0.6855,0.12
J034440.75+244906.7,56.16980972222221,24.81853972222222,17.0,1.5,-46.3,1.5,10.394,0.04,9.913,0.037,9.7,0.019,10.406,0.168,9.606,0.044,,,8.783,0.021,8.54,0.038,8.513,0.023,AAA,8.443,0.024,8.457,0.022,8.433,0.027,7.572,0.144,0.9988,6000,125,1.759,0.31
J034441.82+222752.5,56.174251111111104,22.46456972222222,24.4,2.1,-40.7,2.2,11.694,0.097,11.024,0.09,10.587,0.1,11.096,0.044,10.337,0.014,9.411374397277832,0.22000704400327786,9.477,0.021,9.14,0.021,9.072,0.02,AAA,8.999,0.023,9.035,0.02,9.124,0.039,,,0.9607,5500,125,0.8099,0.14
J034443.17+255231.8,56.17987555555555,25.875512777777775,18.9,2.5,-46.4,2.5,12.465,0.257,11.298,0.119,11.395,0.1,12.148,0.062,11.122,0.058,,,10.031,0.027,9.669,0.03,9.52,0.02,AAA,9.405,0.024,9.443,0.022,9.333,0.038,,,0.786,5000,125,0.4614,0.089
J034444.86+204452.8,56.186903611111106,20.748006666666665,19.6,1.1,-43.5,1.0,9.132,0.019,8.769,0.017,,,,,,,,,7.943,0.018,7.788,0.018,7.747,0.016,AAA,7.681,0.025,7.68,0.021,7.723,0.019,8.015,0.207,0.9899,6750,125,4.544,0.75
J034451.24+231608.1,56.21348305555555,23.268926666666665,20.4,0.9,-42.2,0.9,9.431,0.022,9.007,0.018,,,,,,,,,8.184,0.023,8.006,0.024,7.984,0.033,AAA,7.929,0.024,7.942,0.02,7.929,0.021,7.985,0.219,0.9938,6750,125,3.624,0.59
J034453.05+260831.9,56.22104472222222,26.142207777777774,26.1,2.8,-43.2,2.9,14.639,0.823,11.354,0.127,12.135,0.1,,,,,,,10.589,0.027,10.027,0.034,9.929,0.018,AAA,,,,,,,,,0.9659,4750,125,0.2378,0.038
J034458.92+220156.8,56.245501944444435,22.03245361111111,17.8,1.1,-43.0,1.0,10.046,0.034,9.497,0.028,9.353,0.1,10.229,0.028,9.245,0.049,,,8.52,0.018,8.349,0.033,8.278,0.019,AAA,8.187,0.022,8.237,0.019,8.232,0.021,8.117,0.255,0.9953,6000,125,2.274,0.4
J034501.66+193333.7,56.256898333333325,19.559364999999996,14.3,1.2,-46.1,1.2,10.005,0.031,9.442,0.026,9.293,0.011,,,,,,,8.404,0.021,8.225,0.031,8.152,0.021,AAA,8.086,0.024,8.111,0.02,8.106,0.021,8.014,0.218,0.626,6250,125,2.61,0.43
J034503.28+235021.8,56.26365638888888,23.83939472222222,19.6,2.7,-45.6,3.1,13.757,0.583,11.617,0.159,11.632,0.056,12.383,0.055,11.405,0.035,10.287650413513184,0.2200122242127758,10.261,0.02,9.835,0.023,9.73,0.018,AAA,9.676,0.023,9.739,0.02,9.401,0.063,8.061,0.29,0.9388,5000,125,0.349,0.068
J034504.01+251528.2,56.26670027777777,25.257846388888886,18.0,1.6,-43.5,1.6,11.419,0.076,10.954,0.078,10.462,0.1,11.09,0.03,10.356,0.044,,,9.435,0.024,9.146,0.033,9.041,0.018,AAA,9.003,0.023,9.032,0.021,8.881,0.034,,,0.979,5500,125,0.8541,0.15
J034505.28+234209.6,56.27201472222222,23.70267555555555,20.3,1.0,-44.5,1.0,9.398,0.022,8.98,0.018,9.238,0.112,9.749,0.192,8.863,0.051,,,8.205,0.027,8.041,0.018,8.0,0.021,AAA,7.946,0.022,7.97,0.02,7.88,0.029,7.236,0.203,0.9982,6750,125,3.621,0.6
J034506.54+241548.6,56.277246388888884,24.263513055555553,20.0,1.1,-45.0,1.0,8.954,0.021,8.552,0.017,9.189,0.153,9.803,0.166,8.676,0.077,,,7.892,0.023,7.767,0.033,7.738,0.024,AAA,7.682,0.024,7.69,0.02,7.601,0.02,6.609,0.085,0.9973,7000,125,5.039,0.84
J034507.59+215945.5,56.28162999999999,21.9959775,22.7,1.6,-47.0,1.7,11.941,0.134,11.125,0.1,10.924,0.1,11.639,0.028,10.638,0.022,,,9.568,0.021,9.146,0.021,9.037,0.019,AAA,8.929,0.023,8.979,0.019,8.902,0.028,8.712,0.374,0.976,5000,125,0.6937,0.13
