    0.156300665506478520E+01    0.565728927740316863E+02    0.241504685900376650E+02    0.323457713100551159E+01    0.329174596859218127E+01   -0.504382291859781071E+04
    0.271676035108130165E+01    0.565938000273497295E+02    0.240922299786235499E+02    0.349944693141359409E+01    0.332036191666734881E+01   -0.504246345508326158E+04
    0.191935974405544352E+01    0.565813920789098788E+02    0.242139881542114743E+02    0.283462560381030171E+01    0.292552182217773238E+01   -0.504235042024699487E+04
    0.117394739036542717E+01    0.567811273543747745E+02    0.240884259193410415E+02    0.379709222208761688E+01    0.375604825277564203E+01   -0.504221241202905549E+04
    0.281415622913239272E+01    0.566881199779340150E+02    0.241043823478708390E+02    0.404590117403993865E+01    0.372997001148579654E+01   -0.504217596338943986E+04
    0.168464798328490239E+01    0.567179609743227715E+02    0.240768273814947378E+02    0.282759784130255154E+01    0.278588602197365631E+01   -0.504186649942367876E+04
    0.222579125671712141E+01    0.568365385457867305E+02    0.241512624630768897E+02    0.355818461296337096E+01    0.355277723516277355E+01   -0.504162459172889976E+04
    0.201946309540061808E+01    0.565922717855502881E+02    0.241683433692983130E+02    0.352219784965744287E+01    0.345375779411243489E+01   -0.504150208241905966E+04
    0.224643430796819077E+01    0.567196702485665796E+02    0.241598139238717771E+02    0.254470141935373384E+01    0.260601076877766502E+01   -0.504132289279481938E+04
    0.162679748769790278E+01    0.566561482667160234E+02    0.241216013917606205E+02    0.256450677661198734E+01    0.265378100195826061E+01   -0.504131799589092407E+04
    0.214898402436661851E+01    0.566165176952690246E+02    0.241922351509486013E+02    0.380629519623791834E+01    0.358520122128350671E+01   -0.504123101807616058E+04
    0.182521753663979425E+01    0.568008877464297726E+02    0.241850983236215242E+02    0.342769342632744722E+01    0.332008583554590331E+01   -0.504116752477905175E+04
    0.280153925691847228E+01    0.567373506370340337E+02    0.241172443642155940E+02    0.329364896555294262E+01    0.341252369982047243E+01   -0.504091423569426843E+04
    0.115688022116546541E+01    0.566933533759844224E+02    0.241569314036740082E+02    0.349443124308095765E+01    0.320699736027234961E+01   -0.504086005244995704E+04
    0.246351475742743897E+01    0.568140428838485363E+02    0.241866275749248487E+02    0.311409442666595737E+01    0.315225453859240679E+01   -0.504075034451838201E+04
    0.227198047206171250E+01    0.567794208935019071E+02    0.240963533139754382E+02    0.390228584249893284E+01    0.361964627199199818E+01   -0.504069456686101967E+04
    0.259238882371769286E+01    0.567021950737229901E+02    0.241402822709092781E+02    0.395111659519753244E+01    0.373112237628343646E+01   -0.504068849243195746E+04
    0.242381000069667207E+01    0.566908437998694978E+02    0.241705263971655349E+02    0.418466229363593367E+01    0.387889039616741904E+01   -0.504060600601327769E+04
    0.163959072828019270E+01    0.568367462908843635E+02    0.241532078927401166E+02    0.370678810476157405E+01    0.347858300737968307E+01   -0.504057379496581143E+04
    0.272758433525264632E+01    0.566431484705242738E+02    0.242097597863557148E+02    0.306136178101096412E+01    0.326671205821535526E+01   -0.504044943019410312E+04
    0.243249216270653790E+01    0.566229968366593823E+02    0.241413276411640965E+02    0.337790475405022272E+01    0.326552278376818395E+01   -0.504042932362287684E+04
    0.260276791279830633E+01    0.566673448432619651E+02    0.240824762027609474E+02    0.274479880115921437E+01    0.280146077701274354E+01   -0.504041780049130102E+04
    0.189220918539776317E+01    0.566713324389618336E+02    0.242222568243411267E+02    0.382233849708167561E+01    0.368817649421571447E+01   -0.504021293030645393E+04
    0.244609022315512625E+01    0.566872531631950807E+02    0.241827032661201073E+02    0.353177044270390050E+01    0.360571782500447613E+01   -0.504020643931003087E+04
    0.186867650103428118E+01    0.567411480114427675E+02    0.241009710593736699E+02    0.306240539431264436E+01    0.293510711299328619E+01   -0.504020008394012984E+04
    0.268607374439683255E+01    0.567430548980975473E+02    0.240680001913094870E+02    0.335826423897158044E+01    0.320250116173463972E+01   -0.504014507574538766E+04
