Nested Sampling Global Log-Evidence           :   -0.503022009557653746E+04  +/-    0.142669274452356359E+00
Nested Importance Sampling Global Log-Evidence:   -0.503085881120564954E+04  +/-    0.327396576416798327E-01

Dim No.       Mean        Sigma
   1    0.200898543872725321E+01    0.568571166224206004E+00
   2    0.566923137643823409E+02    0.340366365329061588E-01
   3    0.241590954258997392E+02    0.276104008748431946E-01
   4    0.520771507668393042E+03    0.205425117084172143E+03
   5    0.127351561718967643E+01    0.716737887429350629E-01
   6    0.763240763491929783E+02    0.176637902212261118E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.151008760336640080E+01
   2    0.566772703294437790E+02
   3    0.241671060628399204E+02
   4    0.291607969827094109E+03
   5    0.121851831687354961E+01
   6    0.591679902587532709E+02

MAP Parameters
Dim No.        Parameter
   1    0.151008760336640080E+01
   2    0.566772703294437790E+02
   3    0.241671060628399204E+02
   4    0.291607969827094109E+03
   5    0.121851831687354961E+01
   6    0.591679902587532709E+02
