    0.537455329166941220E-01   -0.607413345179213041E-01    0.152815566766102142E-03    0.832845502481022848E+00    0.125221027741676294E+01    0.257788048732670120E+03    0.255772525047709252E+03   -0.151258983618687216E+04
    0.717744197759122293E-01   -0.801914805417104637E-01    0.586116508096599459E-04    0.831773367797443819E+00    0.988603026011098329E+01    0.165668202246328036E+03    0.979577668095491134E+02   -0.151240624353941666E+04
    0.753728900517934564E-01   -0.852491810798437638E-01    0.211438795008590370E-04    0.833327289726519038E+00    0.286610404469915991E+01    0.298262323893265886E+03    0.142997686292989670E+03   -0.151117187488892387E+04
    0.770105574709699092E-01   -0.857494418842116857E-01    0.680488121384340954E-04    0.831854390121473442E+00    0.790133729314055877E+01    0.204191664277238061E+03    0.172687451499737620E+03   -0.151019079374676971E+04
    0.595952947193535143E-01   -0.662074473214732673E-01    0.134777595129874215E-03    0.832223235869860911E+00    0.722504738016511716E+01    0.183816279679600626E+03    0.147890031444093268E+03   -0.150968638315694830E+04
    0.489068939557356364E-01   -0.540328615468965989E-01    0.899068782912146617E-04    0.832339634717573995E+00    0.668094974741612191E+01    0.189156329292006433E+03    0.291868927697633751E+03   -0.150918995653015349E+04
    0.567993593475994707E-01   -0.642154176991590608E-01    0.663572093205172606E-04    0.832877293727729451E+00    0.765330855738717641E+01    0.200114195890956580E+03    0.240395739082495794E+03   -0.150890814781105587E+04
    0.807978353370728819E-01   -0.892547462062804886E-01    0.198113079472720666E-04    0.832143074727240584E+00    0.820061866316213539E+01    0.850325477595867767E+02    0.257571913323283638E+03   -0.150876298744006272E+04
    0.827423179469772563E-01   -0.924543246040057803E-01    0.139718794197836015E-03    0.832652393805505819E+00    0.712535607725429898E+01    0.225357782242267945E+03    0.216879141805802021E+03   -0.150849070108934643E+04
    0.852605537765980248E-01   -0.941241035190615166E-01    0.107688602677652998E-03    0.832369546980488040E+00    0.517401046731696379E+01    0.236566330249316906E+03    0.198393051739686967E+03   -0.150828667623921183E+04
    0.730986460434443763E-01   -0.808968332231603526E-01    0.324089974752118248E+01    0.240299674982039368E+01    0.109673878772314647E-03    0.561845474894960404E+02    0.177910394202606284E+03   -0.150812074964400017E+04
    0.833253607859430756E-01   -0.925397236363098147E-01    0.251350713048588772E-04    0.832303462863200894E+00    0.440904085623372932E+01    0.123670033271384213E+03    0.228137697786195162E+03   -0.150804909835058334E+04
